"Country","Region","Year","Indicator","Phosphorus (kg)","Nitrogen (kg)","Pollutant","Total emissions including LULUCF (Tonnes of CO2 equivalent)","Total emissions yearly diff (Tonnes of CO2 equivalent)","Agriculture (Tonnes of CO2 equivalent)","Total emissions including LULUCF (Index 1990=100)","Total emissions including LULUCF per capita (kg/per capita)"
"Australia","Oceania",1990,"Balance per hectare",1.024,20.425,"Greenhouse gases",636268.65,0,92095.8,100,37.285
"Australia","Oceania",1991,"Balance per hectare",1.144,21.025,"Greenhouse gases",621497.02,-14771.63,91260.93,99.998,35.958
"Australia","Oceania",1992,"Balance per hectare",1.101,20.049,"Greenhouse gases",556765.72,-64731.3,88317.43,100.844,31.854
"Australia","Oceania",1993,"Balance per hectare",1.07,20.187,"Greenhouse gases",535319.22,-21446.5,86069.36,100.965,30.356
"Australia","Oceania",1994,"Balance per hectare",1.249,20.86,"Greenhouse gases",530958.92,-4360.29999999993,86039.1,101.04,29.82
"Australia","Oceania",1995,"Balance per hectare",1.121,19.456,"Greenhouse gases",514211.97,-16746.9500000001,82278.65,102.972,28.56
"Australia","Oceania",1996,"Balance per hectare",1.256,20.47,"Greenhouse gases",522310.73,8098.76000000001,84494.53,104.456,28.659
"Australia","Oceania",1997,"Balance per hectare",1.315,20.908,"Greenhouse gases",522850.34,539.610000000044,85697.55,107.255,28.38
"Australia","Oceania",1998,"Balance per hectare",1.221,20.709,"Greenhouse gases",524332.94,1482.59999999992,85442.2,110.496,28.178
"Australia","Oceania",1999,"Balance per hectare",1.227,20.611,"Greenhouse gases",539610.27,15277.3300000001,85399.79,111.851,28.684
"Australia","Oceania",2000,"Balance per hectare",1.341,20.74,"Greenhouse gases",566358.31,26748.04,88716.22,114.503,29.763
"Australia","Oceania",2001,"Balance per hectare",1.337,20.216,"Greenhouse gases",586636.35,20278.0399999999,87630.11,116.299,30.436
"Australia","Oceania",2002,"Balance per hectare",1.379,21.398,"Greenhouse gases",582524.56,-4111.78999999992,87436.18,117.147,29.88
"Australia","Oceania",2003,"Balance per hectare",0.769,15.937,"Greenhouse gases",591486.98,8962.41999999993,81706.55,116.815,29.993
